,asin,title
21,B003030QDU,"Weave Kindle 2 Leather Cover with Hinge (Fits 6&quot; Display, 2nd Generation Kindle), Wine/Green"
22,B00511PS3C,AmazonBasics 2-Port USB Car Charger with 2.1 Amp Total Output (Black)
23,B005HSG446,"Marware EcoVue for Kindle, Kindle Touch, &amp; Kindle Paperwhite"
24,B005HSG482,"Marware EcoVue for Kindle, Kindle Touch, &amp; Kindle Paperwhite"
25,B006RDJQHC,Merge Sleeve for Kindle Touch (Black/Light Grey)
26,B0072QW0VC,iGrip Car Headrest Mount Tablet Kit (for all Kindle Fire Models)
27,B007W7P7E8,Artisan Series Leather Elevate Case for Amazon Kindle Fire - Red
28,B007W7P748,Artisan Series Leather Elevate Case for Amazon Kindle &amp; Kindle Touch - Black
29,B008PWUO4W,BUILT Slim Cover - For Kindle Touch (all models and latest generation Kindle)
30,B008PWUP00,BUILT Slim Cover - For Kindle Touch (all models and latest generation Kindle)
31,B008PWUOOW,BUILT Slim Cover - For Kindle Touch (all models and latest generation Kindle)
32,B00902SJY8,"Marware 3-Pack Ultra-Clear Screen Protector for Kindle Fire HD 7&quot; (Previous Generation) (will only fit Kindle Fire HD 7&quot;, Previous Generation)"
33,B00A2XKNO8,OtterBox Defender Series for Kindle Fire HD 8.9
34,B00AY6ONBC,"gloHug: Tablet Case &amp; Travel Pillow Case for Kids Use with iPad Mini,Nexus 7 Amazon Kindle Fire HD,Nook, any 7&quot; Tablet (Purple/Pink)"
35,B00B5HQYB6,"Dylan's Candy Bar &quot;Lollipop&quot; Cover for Kindle (will only fit Kindle, Kindle Touch, &amp; Kindle Paperwhite)"
36,B00BGIQPSG,Marware Swurve for Kindle Fire HD 7
37,B00C1078H0,"LifeForm EON Pink Synthetic Leather Cover for Kindle (fits Kindle, Kindle Touch, Kindle Paperwhite)"
38,B00J49B4AS,FlipStands Kindle Fire HDX 7&quot; &quot;Tough Grade&quot; Shock Proof Case with Built in Stand and Stylus - Purple
39,B00J4PUJ8U,FlipStands Kindle Fire HD 7&quot; - PREVIOUS GENERATION MODEL 1 - &quot;Tough Grade&quot; Shock Proof Case with Built in Stand and Stylus - Pink
40,B00J4PV006,FlipStands Kindle Fire HD 7&quot; - PREVIOUS GENERATION MODEL 1 - &quot;Tough Grade&quot; Shock Proof Case with Built in Stand and Stylus - Black
41,B00J4XPNVU,"FlipStands Mini: Exclusive to Amazon - New, Compact Portable Black Aluminum Multi-Adjustable Stand for the Kindle, Kindle Fire, Kindle Fire HD 7&quot;, 8.9&quot;, Kindle Fire HDX 7&quot; and 8.9&quot; and Kindle E-Readers"
42,B00KFOA768,FlipStands Kindle Fire HD 7&quot; PREVIOUS GENERATION MODEL 1 &quot;Tough Grade&quot; Shock Proof Case with Built in Stand and Stylus - Red
43,B00KKDITJQ,"Bear Motion for Kindle &reg; Premium Wool Felt Sleeve Case for Kindle, Kindle Touch and Kindle Paperwhite"
