,asin,title
B001F7AJHQ,B001F7AJHQ,Patent Mine (Hummingbird series Book 2)
B001FB5ST6,B001FB5ST6,"Dr. Thorndyke Mysteries Collection, Volume One"
B001FB5T4K,B001FB5T4K,"Dr. Thorndyke Mysteries Collection, Volume Two"
B001FOR93Q,B001FOR93Q,The Treasure of La Malinche Volume 1 (The Legacy of La Malinche)
B001G0ML00,B001G0ML00,In The Backwoods of Nowhere
B001GF6U4S,B001GF6U4S,The Millionaire's Nanny Arrangement (Baby on Board)
B001GIPJ2Y,B001GIPJ2Y,The Kindle 2 Cookbook: How To Do Everything the Manual Doesn't Tell You
B001GNCPWG,B001GNCPWG,A Weekend Visit
B001GPOO64,B001GPOO64,My Lady Compelled (Archangels Book 1)
B001GS6ZJA,B001GS6ZJA,Time Crimes: The Paratime Collection (Five Paratime Novels in One Volume)
B001GS6ZPE,B001GS6ZPE,"Little Fuzzy, Space Viking and Other Terro-Human Future History Stories from H. Beam Piper (Twelve Terro-Human Future History Novels in One Volume)"
B001GS7YZO,B001GS7YZO,On/Off - A Jekyll and Hyde Story
B001H55R8M,B001H55R8M,Indian Moon: Love Isn't As Far Away As You Think (Real Romance...For the Rest of Us)
B001HN5MO8,B001HN5MO8,Breaking Down
B001HQHCBQ,B001HQHCBQ,Father Mine: Zsadist and Bella's Story: A Black Dagger Brotherhood Novella
B001HZY846,B001HZY846,The Girlebooks Jane Austen Collection
B001J1S86W,B001J1S86W,The Unmasking of Lady Loveless
B001J6OUZA,B001J6OUZA,Blurred Nights (Blurred Trilogy Book 1)
B001KBZ3D2,B001KBZ3D2,"USA Today, Paid No-Ads Daily Edition"
B001L5T22U,B001L5T22U,All Of You (All for Love Book 1)
B001LKLAPC,B001LKLAPC,A Charmed Death (A Bewitching Mystery)
B001LWV4DS,B001LWV4DS,The Italian Billionaire's Secret Love-Child (The Italian's Bride)
B001NIZLZM,B001NIZLZM,Overrun
B001NPDA44,B001NPDA44,"Belkin Neoprene Kindle Case (Fits 6"" Display, 2nd Generation Kindle)"
B001O0EFBK,B001O0EFBK,TORN
B001O2SCKI,B001O2SCKI,The New Yorker
B001O5CHQU,B001O5CHQU,"Saint Nicholas, the Christmas Story"
B001P05XYC,B001P05XYC,Loving Lucas
B001P5H8UY,B001P5H8UY,Moonlight Protector (Ashton Grove Werewolves Book 2)
B001Q3KT1K,B001Q3KT1K,Judgment
B001Q3LAAE,B001Q3LAAE,Pets: Bach's Story
B001Q9EC3U,B001Q9EC3U,Daddy's Girl
B001QIGZR2,B001QIGZR2,The Black Phone
B001QIGZY0,B001QIGZY0,The Babysitter's Code
B001QIGZZ4,B001QIGZZ4,My Father's Mask
B001QOGLOS,B001QOGLOS,Wizard Girl (Wizards Trilogy Book 2)
B001QOGLPC,B001QOGLPC,Wizards' End (Wizards Trilogy Book 3)
B001QTXLQ4,B001QTXLQ4,Logic to the Rescue
B001R4GN6I,B001R4GN6I,Forged of Steele Bundle: Never Too Late\Solid Soul\Night Heat\Beyond Temptation\Risky Pleasures
B001RF3U9U,B001RF3U9U,The Cook's Illustrated How-to-Cook Library: An illustrated step-by-step guide to Foolproof Cooking
B001SN83KM,B001SN83KM,"THE UPS GUY by Jackie Christian (strong romance, BDSM, threesomes, golden showers): UPS GUY: ROMANCE, cougar threesomes, alpha male, interracial"
B001T4YZ16,B001T4YZ16,The Rise and Fall of a Hustler
B001TJ1O4W,B001TJ1O4W,Angels' Pawn: A Companion Novella to Angels' Blood: A Companion Novella to Angels# Blood (Guild Hunter)
B001TK41W8,B001TK41W8,From the Cell to the Cross
B001TOCGNU,B001TOCGNU,LINCOLN'S LAST HOURS Illustrated
B001TUYV7S,B001TUYV7S,"Sex, Lies, and Videotape + First Chapter of Bound by Desire (Club Desire Book 2)"
B001U0Q17K,B001U0Q17K,Apocrypha [illustrated] [translated]: Lost books of the bible
B001U3YBEC,B001U3YBEC,Off the Grid: Book One (The Jamie Keller Mystery Series 1)
B001U891AQ,B001U891AQ,The Finding of Jasper Holt
B001UE7D0K,B001UE7D0K,"Mind Maps: Quicker Notes, Better Memory, and Improved Learning 3.0"
B001UFP4UU,B001UFP4UU,Through Black Spruce: A Novel
B001UFP5PO,B001UFP5PO,Body Check
B001UHMTRO,B001UHMTRO,"Kentucky Cowboy by Jan Scarbrough: Bluegrass Reunion Series, Book One"
B001ULBOTO,B001ULBOTO,Phoebe Deane
B001UV3EUG,B001UV3EUG,Blind Malice (Rachel Myers Murder Mysteries Book 1)
B001UV3FIC,B001UV3FIC,Three Degrees of Glory by Melvin J Ballard
B001V5JCTI,B001V5JCTI,For Sale in Palm Springs (Henry Wright Mystery Book 1)
B001V5JDLU,B001V5JDLU,Springtime in Sonora (Henry Wright Mystery Book 2)
B001V5JF54,B001V5JF54,Mystery on the Tramway (Henry Wright Mystery Book 3)
B001V5JK9A,B001V5JK9A,Drama in the Mother Lode (Henry Wright Mystery Book 4)
B001V5JX9C,B001V5JX9C,Coachella Valley Traffic Jam (Henry Wright Mystery Book 5)
B001V9K7WU,B001V9K7WU,"Declination (Edge of Apocalypse Series, Book 2)"
B001V9KG4E,B001V9KG4E,Surviving the Fog
B001VEHZ34,B001VEHZ34,Many Waters (The Stones of Song Book 2)
B001VEHZRK,B001VEHZRK,Unclouded Day (The Stones of Song Book 1)
B001VEI1NC,B001VEI1NC,Borderline Case: Book 1 of the Borderline Series
B001VH6NWU,B001VH6NWU,Reality Creation 101: Mastering Manifestation Through Awareness
B001VLXML6,B001VLXML6,The Wild's Call (Aspect of Crow)
B001VNCPJY,B001VNCPJY,Mortal Ghost
B001W1TZTS,B001W1TZTS,Rapid Wall Home AC Charger for the Amazon Kindle all models including the Fire HD HDX DX / Touch / Keyboard (WiFi and 3G)
B001W1XT40,B001W1XT40,Rapid mini 10W Car / Auto Charger for the Amazon Kindle all models including the Fire / HD / HDX / DX / Touch / Keyboard (WiFi and 3G)
B001W1XT6I,B001W1XT6I,Essential Kit for the Amazon Kindle / DX / Touch / Keyboard (WiFi and 3G) includes a Car and Wall Charger
B001W6R7NO,B001W6R7NO,HALLOWED BE THY NAME (Omnibus Edition Including Hallowed Ground) (HBTN Book 1)
B001WAJHS8,B001WAJHS8,Star Attraction
B001XURN06,B001XURN06,The Forsyte Saga Collection (The Forsyte Chronicles series Book 1)
B001YQF0OK,B001YQF0OK,Night Camp
B001YQF59K,B001YQF59K,MRS. BEAST (A Pamela Ditchoff Fairy Tale Book 1)
B00200JXAG,B00200JXAG,Campaign For Love
B0020BUX0Y,B0020BUX0Y,The Lost Fleet: Relentless
B0020HR7KW,B0020HR7KW,Parallax
B0021L9YCG,B0021L9YCG,Love at First Stake (Love Bites Book 1)
B0021L9YDK,B0021L9YDK,"Woman of Honor (Kingdom of Arnhem, Book 1)"
B0022NGHXC,B0022NGHXC,The Psychokitty Speaks Out: Something of Yours Will Meet a Toothy Death
B0023B12TW,B0023B12TW,The Chocolate Gravy Queen
B0023EF9T8,B0023EF9T8,Out of Control (0-60)
B0023EF9YI,B0023EF9YI,The Unlacing of Miss Leigh
B0023RTBB2,B0023RTBB2,How to Find Your Soulmate
B0023W5ZQC,B0023W5ZQC,Face in the Creek (Four Corners' Mysteries Book 1)
B0023W6HQE,B0023W6HQE,The Complete Charles Dickens Collection (51 books) [Illustrated]
B0023ZLM20,B0023ZLM20,The Sacrifice [Slave for Hire #1]
B0024CEY2C,B0024CEY2C,The Awakening: The Novella That Introduced the Leopard People (Leopard series Book 1)
B0024FARCU,B0024FARCU,Presents for Sue Ellen
B00260GOLG,B00260GOLG,The Model Husband (The Rakehell Regency Romance Series Book 14)
B00260GUI8,B00260GUI8,Overboard
B00264H2VI,B00264H2VI,65 Proof - Jack Daniels and Other Thriller Stories
B00267SO8A,B00267SO8A,The Found: La Llorona
B0026P41AC,B0026P41AC,stealing innocence II: The Ravishment
B0026RHM24,B0026RHM24,Stalker
B0026RHUQC,B0026RHUQC,"Belkin Neoprene Kindle DX Case (Fits 10"" Display)"
B0026RHYTU,B0026RHYTU,Baby and All
B0026RHZI0,B0026RHZI0,The Love Machine: The Erobotica Series - Novella One
B0026ZOJ18,B0026ZOJ18,The Christian Novel Collection (Four Books)
B0027KRSYM,B0027KRSYM,"Hunting Down the Horseman (Whitehorse, Montana: The Corbetts series Book 2)"
B0027VSU9S,B0027VSU9S,The Economist - US Edition
B0028AEAG0,B0028AEAG0,Translight (Galactic Alliance Book 1)
B0028K2T54,B0028K2T54,Wistril Compleat
B0028PVGXK,B0028PVGXK,Wild Hearts (Lone Star Sisters)
B0028TXRJW,B0028TXRJW,Her Dakota Men [Dakota Heat 1] (Siren Publishing Menage Amour)
B0028TXRVK,B0028TXRVK,Secret Desires [Tri-Omega Mates 1] (Siren Publishing Menage Amour Manlove)
B0028TXSIW,B0028TXSIW,Trouble Comes in Threes [Triple Trouble 1] (Siren Publishing Menage Amour) (Triple Trouble Series)
B0028TXSJ6,B0028TXSJ6,Dakota Ranch Crude [Dakota Heat 2] (Siren Publishing Menage Amour)
B0028TXSJQ,B0028TXSJQ,Hidden Desires [Tri-Omega Mates 3] (Siren Publishing Menage Amour Manlove)
B00292BSVC,B00292BSVC,Blue Ridge Parkway Plunge (Rachel Myers Murder Mysteries Book 2)
B00295R188,B00295R188,Teleport This (Small Universe Book 1)
B0029LGJEO,B0029LGJEO,The Bradford Conspiracy
B0029NYCGY,B0029NYCGY,INFERNO (New Perdition's Gate Omnibus Edition)
B0029U1A08,B0029U1A08,Kindle Nation Daily
B0029ZAVG2,B0029ZAVG2,WRITE NOW! How To Write That Novel--Today
B002A7X2YM,B002A7X2YM,UNDERGROUND CAPTIVE
B002AJ8YXO,B002AJ8YXO,The Tryst
B002AP9G6M,B002AP9G6M,Sky Hunters: Operation Southern Cross
B002AQSPFY,B002AQSPFY,Complete Mark Twain Collection (300+ works) (Illustrated)
B002ASASR0,B002ASASR0,McBain's Bride
B002ASASUM,B002ASASUM,Moonlight Hero (Ashton Grove Werewolves Book 3)
B002AVVGNW,B002AVVGNW,A Dance in the Dark
B002B9MH40,B002B9MH40,The Wicked West (Tumble Creek)
B002B9MH7C,B002B9MH7C,Waiting for Baby (Baby To Be)
B002BDT64A,B002BDT64A,The Zombie Chronicles: Outbreak
B002BDT6UO,B002BDT6UO,In the Trenches
B002BH4N2Q,B002BH4N2Q,Slave Narratives Arkansas Vol 4 (Arkansas Slave Narratives)
B002BH4RT0,B002BH4RT0,BIOGRAPHY AND FAMILY RECORD OF LORENZO SNOW
B002BNL3EQ,B002BNL3EQ,"Cuba Blue: Murder, Mayhem & Romance"
B002BNL7YC,B002BNL7YC,Under a Viking Moon (Mists of Time Book 1)
B002BSH5YI,B002BSH5YI,Perfect Crimes
B002BWPDYS,B002BWPDYS,Boomerang
B002BY77OA,B002BY77OA,Forbidden Desires [Tri-Omega Mates 2] (Siren Publishing Menage Amour Manlove)
B002C7Z4P0,B002C7Z4P0,Manhunting in Mississippi: Wrapped and Ready (National Consumer Promotion)
B002CMLEVI,B002CMLEVI,A World Within (Wielder Saga Book 1)
B002CQTXUS,B002CQTXUS,An Autobiography of Buffalo Bill (Colonel W.F. Cody) - Illustrated
B002CZQ7XK,B002CZQ7XK,Touch Me in the Dark: A Romance Mystery
B002D48L3E,B002D48L3E,The Good Die Twice (Chase Dagger Series Book 1)
B002D48NBO,B002D48NBO,Classmate Murders (Jim Richards Murder Novels Book 1)
B002D48NCI,B002D48NCI,Vegas Showgirl Murders (Jim Richards Murder Novels Book 2)
B002DGSKVK,B002DGSKVK,The Hall of the Wood
B002DGSWIG,B002DGSWIG,"Undead Advantage, A Zombie Chronicles Novel (The Zombie Chronicles)"
B002DMKUDK,B002DMKUDK,PRISONER 392
B002DML10G,B002DML10G,Dreamer: A Novel Of the Silent Empire
B002DPUTQA,B002DPUTQA,To Find and to Keep (Keeping You Book 1)
B002DR329O,B002DR329O,Maud's House: A Novel
B002DR45P4,B002DR45P4,City of Rogues: Book I of The Kobalos Trilogy (Kron Darkbow 1)
B002DUCRI8,B002DUCRI8,A Skeleton in the Closet (Kate Lawrence Mysteries Book 3)
B002DYJ7DM,B002DYJ7DM,The Space Between
B002E19KU4,B002E19KU4,The Definitive H.P. Lovecraft: 67 Tales of Horror in One Volume (Halcyon Classics)
B002EAYQ9A,B002EAYQ9A,Kill The Story
B002EVPMIS,B002EVPMIS,1001 Steamy Nights-Positively Despotic
B002EZZJSM,B002EZZJSM,Cat's Paw
B002F082M6,B002F082M6,A Wicked Liaison (The Radwells Book 3)
B002F3PPVE,B002F3PPVE,My Soul to Lose (Soul Screamers)
B002FDLOCI,B002FDLOCI,The Blue Mustang
B002FL4UTE,B002FL4UTE,F. Scott Fitzgerald Collection
B002FQOI9Q,B002FQOI9Q,This is Not a Love Story
B002FU6LYC,B002FU6LYC,The Last Bookstore In America
B002G1YGTC,B002G1YGTC,A Midcoast Murder (A Jesse Ashworth Mystery Book 1)
B002G1ZTCU,B002G1ZTCU,Madness (The Rakehell Regency Romance Series Book 16)
B002G1ZUI8,B002G1ZUI8,The Mountain Man
B002G1ZXQ2,B002G1ZXQ2,A Turn of Curses
B002G1ZY4S,B002G1ZY4S,The Bulldog Drummond Chronicles (Illustrated)
B002G99RRK,B002G99RRK,Truck Stop - A Psycho Thriller (Lucy's Prequel to Serial)
B002G9UFCQ,B002G9UFCQ,The Secret of Castlegate Manor
B002GJRZOM,B002GJRZOM,The Bedroom Business
B002GKAQUG,B002GKAQUG,An Artful Deception
B002GYVWAK,B002GYVWAK,The Collected Works of Jules Verne: 36 Novels and Short Stories (Unexpurgated Edition) (Halcyon Classics)
B002GYWK9M,B002GYWK9M,Body Language
B002H9VXQ2,B002H9VXQ2,The Bell Witch Hauntings (An Authenticated History of the Famous Bell Witch: A True Story)
B002HEX4DC,B002HEX4DC,Survivin' Tha Game
B002HJ1WYA,B002HJ1WYA,Boardroom Baby Surprise (Baby on Board)
B002HJ1XCG,B002HJ1XCG,Dakota Child
B002HJ1XL2,B002HJ1XL2,"One Night, Two Babies (The Illegitimate Heirs Book 1966)"
B002HK3N1E,B002HK3N1E,Classic Westerns - 27 Zane Grey Novels
B002HMCLFQ,B002HMCLFQ,Crack-Up: A Psychological Thriller
B002HMCLKQ,B002HMCLKQ,The Collected Novels of H.G. Wells: 33 Books in One Volume (Unexpurgated Edition) (Halcyon Classics)
B002HMDU9M,B002HMDU9M,Twenty-Somewhere
B002HREOAG,B002HREOAG,Life on the Old Plantation in Ante-Bellum Days
B002HRF7WK,B002HRF7WK,How to Write a Great Query Letter: Insider Tips and Techniques for Success
B002HUU0A6,B002HUU0A6,The Breed Next Door: A Novella of the Breeds: A Penguin eSpecial from Berkley Sensation
B002HWSQS2,B002HWSQS2,Spinetinglers Anthology 2008
B002HWSQTQ,B002HWSQTQ,Sage: Tales from a Magical Kingdom
B002IC1KGG,B002IC1KGG,Cory's Salvation
B002IKKMAS,B002IKKMAS,Two Plus One (Hot for Teacher)
B002IT5SIA,B002IT5SIA,Untamed Hearts (Easton Series Book 3)
B002IVVADU,B002IVVADU,Christmas Tree Wars (Rachel Myers Murder Mysteries Book 3)
B002IYFFHY,B002IYFFHY,Down the Memory Hole
B002J4TUX8,B002J4TUX8,Rising Tides
B002J9HMQA,B002J9HMQA,The Finding: The Legend of Oescienne (Book One)
B002JCSFSQ,B002JCSFSQ,The Birth of the Peacekeepers.
B002JGZARQ,B002JGZARQ,Stolen Desires [Tri-Omega Mates 4] (Siren Publishing Menage Amour Manlove)
B002JGZAT4,B002JGZAT4,My Lupine Lover (Siren Publishing Classic Manlove)
B002JINV0M,B002JINV0M,"The Peacekeepers, Some Gave All. Book 2."
B002JJ6TOQ,B002JJ6TOQ,"Wild, Tethered, Bound (Mythica)"
B002JM0ED0,B002JM0ED0,"The Peacekeepers, Liberty or Death. Book 3."
B002JM1DGM,B002JM1DGM,"The Peacekeepers, Descent into Madness. Book 5."
B002JTWOR2,B002JTWOR2,THE REALM SHIFT (Realm Shift Trilogy Book 1)
B002K2RSSS,B002K2RSSS,"Max Carrados, Blind Detective (A collection of Max Carrados mysteries!)"
B002KMJHYG,B002KMJHYG,The Works of Andre Norton (12 books)
B002KW448U,B002KW448U,Catch an Honest Thief (A Haven Mystery Book 1)
B002L3RUFC,B002L3RUFC,Dealing with Denver (The Barbourville Series Book 3)
B002LE7FUG,B002LE7FUG,Erotic Tales - Lesbian Encounters
B002LISF38,B002LISF38,Road to Wrath: Book II of The Kobalos Trilogy (Kron Darkbow 2)
B002LIT32K,B002LIT32K,The ORDER of SHADDAI (Realm Shift Trilogy Book 2)
B002LLNFDA,B002LLNFDA,Phantom Rising (The Network Book 2)
B002LZTEW2,B002LZTEW2,Steal Me
B002LZTUTY,B002LZTUTY,Judgment (The Jury Series Book 1)
B002MAQAPU,B002MAQAPU,Love of a Lifetime
B002MPPOZW,B002MPPOZW,Tempo Rubato ~: Stolen Time
B002MPQ67M,B002MPQ67M,Dominatrix Murders (Jim Richards Murder Novels Book 3)
B002NGO50U,B002NGO50U,Keeper of Keys
B002NKLNCY,B002NKLNCY,"About a Woman, A Zombie Chronicles Novel (The Zombie Chronicles)"
B002NKLNE2,B002NKLNE2,Christmas Village Miracle
B002NLKWZM,B002NLKWZM,Merriam-Webster's English-Spanish Translation Dictionary
B002NOGESS,B002NOGESS,Season of Secrets
B002NOGFAU,B002NOGFAU,Meeting Your Goliath (Timeless talks)
B002NOGFHS,B002NOGFHS,Full Moon Mating [Wolf Creek Pack 1] (Siren Publishing Classic Manlove)
B002NOGFSW,B002NOGFSW,Dakotaâs Cowboys [Dakota Heat 3] (Siren Publishing Menage Amour)
B002NU5JRY,B002NU5JRY,The Knife's Edge (Historical Fantasy Romance--Short Story)
B002NU5SJI,B002NU5SJI,I Love My Kindle
B002O3W54K,B002O3W54K,Death Is No Bargain (Emerson Ward Mystery Book 5)
B002OHD194,B002OHD194,Toe Popper
B002OHD252,B002OHD252,"Sweet Dream, Silver Screen"
B002OHD27U,B002OHD27U,Sin
B002OL1XKY,B002OL1XKY,The Secret Portrait (A Jean Fairbairn/Alasdair Cameron mystery Book 1)
B002OL2AQ0,B002OL2AQ0,Escaping A Royal Wedding (Royal Cordova Trilogy Book 1)
B002OL2AY2,B002OL2AY2,The Man's Outrageous Demands (Royal Cordova Trilogy Book 2)
B002OL2AYC,B002OL2AYC,Mistress To The Prince (Royal Cordova Trilogy Book 3)
B002OSXLM0,B002OSXLM0,Digital Photography Basics: A Beginner's Guide to Getting Great Digital Photos
B002OSXNJ6,B002OSXNJ6,Discovery - A Far Out Romance
B002P8MQ0W,B002P8MQ0W,The Order of the Four Sons: Book I
B002P8MV2U,B002P8MV2U,LDS Hymns and Children's Songbook
B002P8MV98,B002P8MV98,LDS - The Family: A Proclamation to the World
B002PHMLKI,B002PHMLKI,Pitcher Perfect (1)
B002Q0Y2JM,B002Q0Y2JM,Ex-Con's Fake Fiance
B002QGUCXQ,B002QGUCXQ,Keller in Dallas
B002QHWOEU,B002QHWOEU,"A Hardboiled Murder: An Aggie Underhill Mystery (A quirky, comical adventure): An Aggie Underhill Mystery"
B002QX43T8,B002QX43T8,The Demetrios Virgin
B002R0FRKE,B002R0FRKE,Mr. Smoke
B002R5AX9E,B002R5AX9E,The Sacrifice
B002R5B0LE,B002R5B0LE,Youngin'
B002R5B0WI,B002R5B0WI,The Blood That Bonds (The II AM Trilogy Book 1)
B002RHP4N2,B002RHP4N2,Sleepwalker: The Last Sandman
B002RHP4YQ,B002RHP4YQ,The Heavenly Bride Chapter 1 (The Heavenly Bride Chapters)
B002RHP5OU,B002RHP5OU,San Francisco Values
B002RHP5TK,B002RHP5TK,Revolution (The Phoenix Rebellion Book 1)
B002RI9R16,B002RI9R16,Helpless: The true story of a neglected girl betrayed and exploited by the neighbour she trusted
B002RKRMSY,B002RKRMSY,A Journey to the Centre of the Earth
B002RKSEHW,B002RKSEHW,"The Works of Edgar Allan Poe, The Raven Edition Table Of Contents And Index Of The Five Volumes"
